birth,death,dimension
6.957409858703613281e+00,7.024940490722656250e+00,1.000000000000000000e+00
5.839259147644042969e+00,6.193789005279541016e+00,1.000000000000000000e+00
5.733687877655029297e+00,6.522046566009521484e+00,1.000000000000000000e+00
5.335218429565429688e+00,5.914599418640136719e+00,1.000000000000000000e+00
5.256320953369140625e+00,5.865963459014892578e+00,1.000000000000000000e+00
5.196928501129150391e+00,5.236560344696044922e+00,1.000000000000000000e+00
4.954880237579345703e+00,5.527391433715820312e+00,1.000000000000000000e+00
4.842367172241210938e+00,6.626035690307617188e+00,1.000000000000000000e+00
4.813983917236328125e+00,5.244447708129882812e+00,1.000000000000000000e+00
4.485256195068359375e+00,4.779017925262451172e+00,1.000000000000000000e+00
4.481871128082275391e+00,4.495445251464843750e+00,1.000000000000000000e+00
4.471889972686767578e+00,5.395594120025634766e+00,1.000000000000000000e+00
4.458659172058105469e+00,4.780303478240966797e+00,1.000000000000000000e+00
4.330743312835693359e+00,5.080399036407470703e+00,1.000000000000000000e+00
4.330452442169189453e+00,4.458262443542480469e+00,1.000000000000000000e+00
4.310773849487304688e+00,4.410909175872802734e+00,1.000000000000000000e+00
4.267856121063232422e+00,6.552391052246093750e+00,1.000000000000000000e+00
4.176595687866210938e+00,4.202479839324951172e+00,1.000000000000000000e+00
4.149902343750000000e+00,4.443320751190185547e+00,1.000000000000000000e+00
4.113785743713378906e+00,5.175090312957763672e+00,1.000000000000000000e+00
4.110351085662841797e+00,6.870308399200439453e+00,1.000000000000000000e+00
4.063304424285888672e+00,4.333028316497802734e+00,1.000000000000000000e+00
3.997129917144775391e+00,7.632427692413330078e+00,1.000000000000000000e+00
3.924521923065185547e+00,5.096892833709716797e+00,1.000000000000000000e+00
3.853689193725585938e+00,4.423025608062744141e+00,1.000000000000000000e+00
3.811498165130615234e+00,3.982696294784545898e+00,1.000000000000000000e+00
3.793513059616088867e+00,7.112502574920654297e+00,1.000000000000000000e+00
3.653076887130737305e+00,4.159511089324951172e+00,1.000000000000000000e+00
3.607876539230346680e+00,4.366379737854003906e+00,1.000000000000000000e+00
3.586787223815917969e+00,4.439960956573486328e+00,1.000000000000000000e+00
3.577430486679077148e+00,5.301095008850097656e+00,1.000000000000000000e+00
3.422633171081542969e+00,3.826437711715698242e+00,1.000000000000000000e+00
3.415639638900756836e+00,3.652332067489624023e+00,1.000000000000000000e+00
3.158091306686401367e+00,3.738950490951538086e+00,1.000000000000000000e+00
3.137324571609497070e+00,3.902734518051147461e+00,1.000000000000000000e+00
