birth,death,dimension
7.636176586151123047e+00,8.124017715454101562e+00,1.000000000000000000e+00
5.813168048858642578e+00,6.888556003570556641e+00,1.000000000000000000e+00
5.744534015655517578e+00,6.178668022155761719e+00,1.000000000000000000e+00
5.729336738586425781e+00,6.391989231109619141e+00,1.000000000000000000e+00
4.799540519714355469e+00,4.864621162414550781e+00,1.000000000000000000e+00
4.796623229980468750e+00,7.371889591217041016e+00,1.000000000000000000e+00
4.746612548828125000e+00,5.135799407958984375e+00,1.000000000000000000e+00
4.687994956970214844e+00,4.880908012390136719e+00,1.000000000000000000e+00
4.648826122283935547e+00,4.940359115600585938e+00,1.000000000000000000e+00
4.615308761596679688e+00,5.473992824554443359e+00,1.000000000000000000e+00
4.606360912322998047e+00,5.408055305480957031e+00,1.000000000000000000e+00
4.519029140472412109e+00,5.164356708526611328e+00,1.000000000000000000e+00
4.516424655914306641e+00,5.473194599151611328e+00,1.000000000000000000e+00
4.402835369110107422e+00,4.762977123260498047e+00,1.000000000000000000e+00
4.308393001556396484e+00,4.584922313690185547e+00,1.000000000000000000e+00
4.164443492889404297e+00,4.331892490386962891e+00,1.000000000000000000e+00
4.123054027557373047e+00,4.299462795257568359e+00,1.000000000000000000e+00
4.110220909118652344e+00,5.217923164367675781e+00,1.000000000000000000e+00
4.087623596191406250e+00,4.198643207550048828e+00,1.000000000000000000e+00
4.022886753082275391e+00,5.125826358795166016e+00,1.000000000000000000e+00
3.881110429763793945e+00,4.910500049591064453e+00,1.000000000000000000e+00
3.878031015396118164e+00,5.223223686218261719e+00,1.000000000000000000e+00
3.839907407760620117e+00,5.360158443450927734e+00,1.000000000000000000e+00
3.825970411300659180e+00,3.992998600006103516e+00,1.000000000000000000e+00
3.721357107162475586e+00,4.038841724395751953e+00,1.000000000000000000e+00
3.711212396621704102e+00,8.278161048889160156e+00,1.000000000000000000e+00
3.651608467102050781e+00,6.398913383483886719e+00,1.000000000000000000e+00
3.606276273727416992e+00,4.075559616088867188e+00,1.000000000000000000e+00
3.581147193908691406e+00,6.213579177856445312e+00,1.000000000000000000e+00
3.577109098434448242e+00,3.657280206680297852e+00,1.000000000000000000e+00
3.557486295700073242e+00,7.565868854522705078e+00,1.000000000000000000e+00
3.353878259658813477e+00,5.624797821044921875e+00,1.000000000000000000e+00
3.348194837570190430e+00,3.421913385391235352e+00,1.000000000000000000e+00
3.302115917205810547e+00,3.378392219543457031e+00,1.000000000000000000e+00
3.286988496780395508e+00,3.323320388793945312e+00,1.000000000000000000e+00
3.253261327743530273e+00,3.828501701354980469e+00,1.000000000000000000e+00
3.173338413238525391e+00,3.519283056259155273e+00,1.000000000000000000e+00
3.101140975952148438e+00,3.806610584259033203e+00,1.000000000000000000e+00
3.012903690338134766e+00,3.157280206680297852e+00,1.000000000000000000e+00
2.930926084518432617e+00,3.753932476043701172e+00,1.000000000000000000e+00
2.906507253646850586e+00,3.075915098190307617e+00,1.000000000000000000e+00
2.869860172271728516e+00,3.075087070465087891e+00,1.000000000000000000e+00
2.757707118988037109e+00,3.796816110610961914e+00,1.000000000000000000e+00
2.747084379196166992e+00,3.304742097854614258e+00,1.000000000000000000e+00
2.710789918899536133e+00,2.890922546386718750e+00,1.000000000000000000e+00
2.684190988540649414e+00,5.577165126800537109e+00,1.000000000000000000e+00
2.679052829742431641e+00,2.923528432846069336e+00,1.000000000000000000e+00
2.670897006988525391e+00,3.097042083740234375e+00,1.000000000000000000e+00
2.649935483932495117e+00,2.811102390289306641e+00,1.000000000000000000e+00
2.641967773437500000e+00,2.783045291900634766e+00,1.000000000000000000e+00
2.639207124710083008e+00,3.955385923385620117e+00,1.000000000000000000e+00
2.578666448593139648e+00,2.857005834579467773e+00,1.000000000000000000e+00
2.566825628280639648e+00,2.595848560333251953e+00,1.000000000000000000e+00
2.535592079162597656e+00,3.022133350372314453e+00,1.000000000000000000e+00
2.527641534805297852e+00,2.638196468353271484e+00,1.000000000000000000e+00
2.501748561859130859e+00,2.533015251159667969e+00,1.000000000000000000e+00
2.465892553329467773e+00,2.760498046875000000e+00,1.000000000000000000e+00
2.452853202819824219e+00,2.476105928421020508e+00,1.000000000000000000e+00
2.381535768508911133e+00,2.517318010330200195e+00,1.000000000000000000e+00
2.362320184707641602e+00,3.272255182266235352e+00,1.000000000000000000e+00
2.348124504089355469e+00,2.460981369018554688e+00,1.000000000000000000e+00
2.316193819046020508e+00,2.399033308029174805e+00,1.000000000000000000e+00
2.269375801086425781e+00,2.306694507598876953e+00,1.000000000000000000e+00
2.237422943115234375e+00,2.244592189788818359e+00,1.000000000000000000e+00
2.236590862274169922e+00,2.313667774200439453e+00,1.000000000000000000e+00
2.236424446105957031e+00,3.005146026611328125e+00,1.000000000000000000e+00
2.234448432922363281e+00,2.428029775619506836e+00,1.000000000000000000e+00
2.233522891998291016e+00,2.312287569046020508e+00,1.000000000000000000e+00
2.214712619781494141e+00,2.619106292724609375e+00,1.000000000000000000e+00
2.178638219833374023e+00,2.249893665313720703e+00,1.000000000000000000e+00
2.174678325653076172e+00,2.330846071243286133e+00,1.000000000000000000e+00
2.161693334579467773e+00,2.267239809036254883e+00,1.000000000000000000e+00
